text,labels
ben bunu tam gün önce paylaştım daha yeni duymuşlar,Against
harita teknikerleri olarak aldığımız yüksek puanlar ile hakkımız olan kadroları almak ve emeğimizin karşılığını görmek istiyoruz,Neutral
bakan özhaseki imar barışının detaylarını açıkladı,Neutral
allah isinizirasgetirsin allah senden raraziolsun,Favor
sayın bakanım biz ek gösterge mağdurlarıyız talebimiz seçimden önce tüm yüksekokul mezunlarının ek göstergesi sınıf ayrımı yapılmadan e çıkarılmasıdır,Neutral
reyis sen dikdur millet arkanda olcak bir canım var oda sizi gibi müslüman liderimize kurban olsun,Favor
inşallah sorarsınız başkanımız,Favor
kemal kılıçdaroğlu kendisi ile mücadele ediyor sahtekarlıkla iktidara gelen bir yönetimin meşruiyeti dünyanın her ülkesinde sorgulanır bizde bu hiç sorgulanmadı bile bütün mesele geldi chp üzerine yoğunlaştı chpde değişime değil yenilenmeye ihtiyaç var,Against
cumur başkanım tablet dağatacaz dediniz tablet dağıtmadınız okulum bursa inegöl gazi osman başa ilköğretim okulu,Against
sizler eger vatanseverseniz adam gibi destek verirdiniz yaziklar olsun sizlere,Against
ek atama açıklaması bekliyoruz,Neutral
rabimin izniyle bedelli askerlik konusunda sizden güzel haberler bekliyoruz sayin cumhur başkanim biz aileler sizden gençler olarakta güzel günler beklyoruz sizin sayenizde mağduriyetimizi giderilcegine sizinle inaniyoruz başkanim saygilarimizla teşekkür ederiz ailece,Favor
ben aç yatiyorken sen tok yatiyorsan allah senin belanı versin hakkımı haram zıkkım olsun,Against
ülkenin gençleri işlerinden atılıımız var keyfi bir durum değilçözüm istiyoruz,Against
sayınvekillerimiz nın yanımızda olduğunu biliyoruz ancak sorunumuzun çözülmesi için meclisgenelkurulunda oylama yapılmasını bekliyoruz tüm mağdurlar için oylama yapılıyor bizler için neden yapılmıyor yıldır bekliyoruz gündemde tutmak bizim için anlam taşımıyor,Neutral
hak olana tv den bakiyoruz mesele adalet ise buyrun,Against
fahri kuran kursu öğrt szden kadro yada sözleşmeli olarak alim müjdesi beklyor,Neutral
bayramın mübarek olsun babam reisim,Favor
